sentence,startTime
that again i'm going to challenge you to,7:04
do it again keep trying keep trying it,7:06
um you're going to you got to get over,7:08
the hump you got to get over the initial,7:10
and then once you do that it's awesome,7:13
it truly has changed the way not only,7:15
how i sell but just how i communicate,7:18
with our existing clients your sample,7:20
size like my first sample size i sent,7:21
three videos and i was like nope not,7:23
doing it,7:25
you gotta you have to like really have a,7:26
larger sample size right but i will say,7:28
too for those of you i know there's a,7:30
lot of people chiming in about video and,7:32
we use a variation vidyard um also like,7:34
direct through linkedin messaging if,7:37
you're first degree connected with them,7:39
i would say the other thing to try when,7:41
we're talking about channels,7:43
is,7:45
audio messages,7:46
and,7:48
for me it's performing really similar so,7:49
if you're not comfortable,7:51
like for me it's always like i open my,7:53
phone and i see all of my chins looking,7:54
back and i'm like staring there like my,7:57
phone and i'm like oh no i never want to,7:59
open my phone again my camera just,8:00
looked at me so if you like flip your,8:02
phone around if you want to try video or,8:04
go audio message yeah audio message it's,8:06
um it's performing at the same open and,8:09
response rate for me personally,8:12
and i know that's a little bit different,8:14
for everyone cut you off at 60 seconds,8:16
if you're using linkedin so you're not,8:18
going to go on for too long yeah,8:20
well i try that i actually have not been,8:23
using audio as much does anyone audio,8:24
text with their family or their friends,8:27
um just like on and text message i know,8:30
is a little bit different but you can,8:32
send a linkedin audio voice note as well,8:33
my little sister does that in our,8:36
siblings text she touched she she's a,8:37
big i don't think she's watching this,8:40
but if she had if she was i love your,8:41
audio text thank you,8:44
i think it's it's different and that's a,8:46
big piece of it is just showing up,8:48
different than everyone else who's in,8:51
there right,8:53
it's just such it's an overpopulated,8:54
space right now and,8:56
you know that certainly depends on the,8:58
industry that you're selling in to and,8:59
the industry that you're coming from if,9:01
you're selling in a sas space right now,9:03
to a private equity backed firm you are,9:05
in a very tight marketplace at this,9:07
moment in time so you've got to come up,9:10
with ways to differentiate yourself and,9:12
to stand out and to provide value i,9:14
think the biggest thing,9:16
is having some sort of,9:18
plan some sort of approach and a lot of,9:21
people do but typically that consists of,9:24
the two channels so let's vary it up,9:26
also most people give up,9:29
too early on there's crazy statistics,9:31
that a lot of us are giving up reaching,9:35
out to a specific organization,9:37
or prospect of ours after,9:39
two three four five touches because we,9:42
run out of things to say,9:45
being able to come up with something,9:47
different every time,9:48
are you interested in this no well how,9:50
about that no okay well how about this,9:52
right so we're coming back with,9:54
something different every time and we're,9:55
trying those different doors in the,9:57
hallway different channels seeing how,9:58
they personally want to be communicated,10:01
with i think also just really being,10:03
familiar with who's the best fit for,10:06
your organization yeah who's the best,10:08
fit,10:10
and and that could be different for my,10:11
organization than it is for me,10:13
personally i know i love prospecting,10:14
into people in engagement and your,10:17
favorite is i love like the talent,10:20
acquisition space industry,10:22
like people management software that,10:25
kind of thing for me those are my peeps,10:27
yeah so just like knowing where people,10:28
you find favor with looking at your past,10:31
wins and seeing if there's some sort of,10:34
pattern that emerges that really helps i,10:36
think,10:39
i know we're coming back to the question,10:41
here i went on a wild ride but coming,10:43
back to your question when we're,10:45
thinking about being persistent there,10:47
let them know,10:48
at the end of your sequence or cadence,10:50
whatever you're doing just be like hey,10:52
it looks like this isn't a priority for,10:54
you right now no biggie,10:56
uh i'm gonna i'm gonna let you be i know,10:58
a few people mentioned humor in the chat,11:00
here um i'm gonna let you be for a,11:02
little bit but i'll be back in three,11:04
months or,11:06
i'll be back in a couple months and see,11:07
if it's a better time for you right even,11:09
if they've never responded you're,11:10
managing their expectations right yeah,11:12
look at that full circle there i know,11:14
that was amazing i'm a big fan of one,11:16
word update question mark um,11:18
uh,11:20
next steps um question mark,11:22
feedback,11:25
question mark um,11:26
i've been known to want to send other,11:29
things and subject lines that probably,11:31
are not appropriate,11:32
yeah um,11:34
but those were the ones that come to,11:35
mind yeah those are great i don't use,11:37
checking in following up,11:39
that's not true i will use following up,11:41
if it's truly i actually don't use,11:42
following up i do follow up like this is,11:44
the follow-up email,11:47
but i only do that if i'm literally,11:49
sending,11:51
a follow-up email from a big call,11:52
otherwise if it's something else i use,11:54
update,11:56
that kind of thing yep recap on our,11:57
conversation yep um i like that and,11:58
that's me again,12:01
what about dropping emojis in that,12:03
subject line i just saw that in the chat,12:05
i,12:07
i think this varies and it's like,12:08
personal comfort level,12:09
i see some people do phenomenal with,12:11
this,12:13
and it stands out in an,12:14
a business email inbox you have a ton of,12:17
them in your gmail account or a yahoo,12:19
hotmail i don't know where people where,12:22
people at these days but you have a lot,12:25
of them in your personal account but not,12:27
so much in business i see i think,12:28
there's probably like a work appropriate,12:30
emoji list somewhere like what can be,12:32
used i don't feel comfortable with it,12:34
but i do love symbols so the straight,12:36
line down or like a slider,12:38
yeah yeah greater than less than right,12:42
that's what i was going for um plus i i,12:44
think it just stands out a little bit,12:46
different pattern interrupt yeah yeah,12:48
yeah absolutely i'm not a huge,12:50
emoji,12:53
symbols over emojis for you 100 symbols,12:54
over emojis,12:57
