sentence,startTime
back and it ended up going pretty well,4:25
in my book so um definitely always pull,4:27
the anniversary card and um when in,4:29
doubt just,4:32
compliment their wife or their spouse,4:33
their partner and i found that worked,4:34
well too,4:35
i just want to reiterate like an,4:36
underscore,4:38
that these are people who you have had,4:40
some sort of connection with we're not,4:42
talking cold calling has never responded,4:43
to you so everything that dale and,4:45
miranda has said it's something that,4:47
they've actually had this relationship,4:48
they've created they've had conversation,4:50
so like just want to underscore it again,4:52
i think it's worth highlighting,4:54
my um,4:56
a couple things so the doordash story,4:58
adrian,4:59
i had someone who we had meetings booked,5:00
and then it was canceled meeting book,5:03
and then it was canceled and i was like,5:05
hey i just want to make sure,5:07
everything's okay and the woman replied,5:08
that she had a sick child at home and i,5:12
said,5:14
you know,5:15
we'll reschedule later don't even worry,5:16
about it i know what it's like from one,5:18
mother to another here's doordash so,5:21
that you can eat a real lunch today,5:22
and it was without the expectation of a,5:25
sale or booking and i think that that's,5:28
something that,5:30
is important too that we're being humans,5:32
right that we're showing up and it's,5:34
just hey i want to help you out i,5:35
understand what you're going through,5:37
been there right let me be a human and,5:39
just show that i care um and i know that,5:41
some people have boundaries in term or,5:44
like limits in terms of monetary gifts,5:46
if that's something that you can't do,5:48
the other thing that i think is,5:50
different that's showing up different is,5:53
send a video,5:55
when we are sending emails,5:57
a lot of times it's getting lost right,5:59
it's words it's text on a screen and,6:01
like some of the things show up and you,6:03
know i know miranda has done some,6:05
awesome memes memes the the giffies,6:07
right and like,6:11
but if we're showing up different if,6:12
they have a connection with us,6:14
and we can show that our concern is,6:16
genuine and that we care they can hear,6:18
the inflection in our voice we can joke,6:20
a little bit different because sometimes,6:23
people read things incorrectly but if,6:25
we're saying it,6:28
our tone is there and we have this,6:30
connection um i could just be like hey,6:32
hey we haven't been able to catch each,6:36
other thought i'd make you a quick video,6:38
um curious if anything's changed it's,6:40
completely fine if it has just let me,6:43
know,6:45
and,6:46
letting my tone and my energy show,6:47
through um,6:49
i've seen quite a few people,6:50
mention different industries than,6:52
they're in and what's working and what's,6:54
not and there is,6:55
a good piece of that like if you could,6:57
just show up,6:59
in a different way than what you have,7:00
been doing,7:02
you know any of these ideas showing up,7:04
different do something out of the box,7:06
pop em a linkedin voice note or oh yeah,7:09
hardcore with the linkedin voice note or,7:12
even a video on linkedin if you're first,7:15
degree connected like just something,7:17
different,7:18
something different can i riff on this,7:19
for a second is that of course like,7:21
feeling inspired as hell by leslie and,7:22
so there's a couple things that are very,7:25
important i think to what she's saying,7:27
that everybody can take a piece of which,7:28
is that she's talking about the basics,7:30
around like human principles and the,7:32
psychology of the way that a,7:35
regular human being operates so like,7:36
think back to being like 12 years old,7:39
and having a surprise birthday party,7:41
thrown for you and up to 12 years old,7:43
you've never had a surprise birthday,7:44
thrown for you so every year you're,7:46
expecting this kind of same thing for,7:48
your birthday and then your mom and dad,7:50
go all out and they hook it up and,7:51
you're at chuck e cheese and all your,7:53
friends are there and you're eating,7:54
pizza that a rat gave you and it's,7:56
incredible and and that that moment that,7:58
changes your life though right it,8:00
literally changes your freaking life and,8:02
this is the thing is that we we take for,8:04
granted the opportunities that we have,8:06
to impact people so often we think oh i,8:08
gotta hit quota oh i need to sell,8:11
something oh i want to buy that fancy,8:13
car and so i got to make this 17 000,8:15
commission shout out to all the copier,8:17
warriors out there that hit those big,8:18
bucks right so but the thought again is,8:20
is that how can i detach myself from,8:22
this leslie said something very,8:24
important that everybody needs to think,8:25
about expectations,8:26
what expectations do you have when,8:28
interacting with another human being are,8:30
you sitting back and saying oh i need,8:31
something from this person i have to,8:33
have this thing this deal could change,8:35
my life well guess what,8:37
that doesn't matter what matters is is,8:38
the fact that that you have the,8:40
opportunity to influence the way that,8:42
other people think about sales the way,8:44
that other people think about human,8:46
interaction at my father's funeral a guy,8:47
came up to me and there was thousands of,8:49
people that came up to me i mean,8:51
literally i'm not exaggerating nice for,8:52
eight hours after my dad's funeral we,8:54
had people coming up to us telling us,8:55
stories people we'd never met in our,8:57
lives there was a guy though,8:58
individually that that really relates to,8:59
this they came up to us and told us a,9:01
story about my dad doing something for,9:03
him that that he didn't even know my dad,9:05
did it right he had to like dig deep and,9:07
figure out that my dad had done this,9:10
thing to begin with and bless this,9:11
person and created a moment of impact,9:13
for them and it changed his literal life,9:16
he went he told me he said i went home,9:18
and i told my wife that i'd been having,9:21
an affair,9:23
and he said and she stayed with me god,9:24
bless her she stayed with me and he said,9:25
we've been together for like another 20,9:27
plus years and we have four kids and,9:28
we're extremely happy but if i if your,9:31
dad hadn't motivated me to get out of,9:32
this disgusting lifestyle that was in,9:34
and this these things that were nagging,9:37
at me deep in my soul by doing one,9:39
simple thing for me,9:41
one simple thing my life would never be,9:42
to be the same i probably wouldn't even,9:44
be standing here today that is extremely,9:46
powerful my dad sold copy machines,9:48
ladies and gentlemen right you have a,9:50
medium at your fingertips in all,9:52
instances of these types of things this,9:54
is more than ghosting right people,9:57
ghosts because of the the simple,9:58
examples that we've given but they they,10:00
technically ghost because they're living,10:02
their life,10:04
and we forget that so often and so i,10:05
love leslie's example and i think it's,10:08
just really important that we think so,10:09
much deeper than all this and that we,10:11
rebel against the status quo and the,10:13
mediocre and the typical that,10:14
everybody tells us we have to be doing,10:16
send a value proposition uh throw a,10:18
couple white papers over there and let,10:21
them read those like no give people an,10:23
experience show your heart sink your,10:25
teeth into those moments and not in a,10:27
weird way right but in a very romantic,10:29
way in the from the perspective of that,10:31
i am giving everything i have to this,10:33
thing right here and i promise you that,10:35
what you get as a result will be beyond,10:38
any expectation that you ever came in,10:40
with something that all this talk about,10:41
being a person and being proactive and,10:43
sort of and just sort of shooting them,10:45
straight that really rings true for me,10:46
is what we talk about ambition with,10:48
calling a spade a spade and really,10:50
breaking the fourth wall um and just not,10:52
putting up a front we're people there's,10:54
a reason that people do this job and,10:56
machines don't it's person to person and,10:58
the relationships is entirely what makes,11:00
or breaks a sale or makes or breaks a,11:02
relationship between you and yourself,11:04
and a prospect so what i've found that,11:05
like using this in my my calls as an sdr,11:08
and my deals as an ae is labeling and,11:12
really just sort of calling something,11:14
what it is and shooting them straight,11:15
and putting the ball in their court,11:17
which is like,11:18
it sounds like the timing's less than,11:19
ideal are we still interested in,11:20
continuing the conversation or should i,11:22
plan on reaching back out time a lot,11:24
down the line if not happy to part ways,11:25
as friends or in my case i guess now,11:28
it'll be happy to send a magician your,11:29
way with a business card for your,11:31
reference uh but really taking the,11:32
pressure off you can use your,11:34
personality i know a lot of our sdrs at,11:36
ambition use this with the memes and the,11:38
gifts and that really sets us apart but,11:40
is there anything that you can think of,11:42
as to why we uh why we why this time,11:43
frame wouldn't work for you or why we,11:45
can't move forward and again really,11:47
really putting the the ball back in,11:49
their court there,11:50
