sentence,startTime
should be and all of those things,3:59
but,4:01
i'm terrified to lose like the,4:02
motivation is i don't want to lose and,4:04
and i will spend that as in like i want,4:07
to win and when a deal signs for someone,4:10
on my team i feel immense joy right and,4:12
so you have to you have to i know for me,4:16
before i had kids my motivation was a,4:19
lot different than now that i have three,4:20
little ones like it's a very different,4:22
uh piece there so ask them that's the,4:25
answer ask them,4:27
leslie thoughts on coaching to,4:29
individuals and then the difference,4:31
between coaching to individuals and the,4:33
team as a whole,4:34
yeah um,4:36
mark hit it right on the head like for,4:37
him it's winning,4:39
i,4:40
that was one of the questions in my get,4:41
to know you anyone new who's joining the,4:43
team is like,4:45
okay talk to me about your goals,4:47
what are they what do they look like and,4:49
then i'd ask questions just tell me more,4:51
about that the same way that we like,4:53
would ask prospects questions,4:56
i think some of the most common things,4:58
that i see come up is like when um,5:00
we do a contest in a sales team it's,5:03
like the winner gets,5:06
you know a 50 gift card,5:08
here's starbucks or visa or whatever it,5:11
is um but mark like he just wants to win,5:13
so maybe he doesn't maybe the money's,5:16
not motivating him it's the,5:18
you know badge of honor it's,5:21
uh recognition so like sending an email,5:24
to,5:27
your c-suite and copying him in about,5:28
how great mark is or maybe it's,5:31
extra time off on you you get to leave,5:34
early on friday and go hang out with,5:36
your family or go to the beach or do,5:38
whatever it is that you want to do,5:40
everyone has a different feel,5:42
so like i've seen some really great,5:45
spiffs where it's like choose your own,5:47
adventure,5:48
here's the options so that you're not,5:50
sticking reps into,5:53
just,5:55
one thing that you think is going to,5:56
cover everyone because we're all sales,5:59
people,6:00
can i add here too that so ambition runs,6:02
a ton of contests like tens of thousands,6:05
of contests every year about 80 of those,6:07
don't have a prize it's visibility it's,6:10
how does james ceo see that mark the sdr,6:13
just set a meeting in an easy way put an,6:16
emoji right so don't think you always,6:18
have to have a prize,6:20
but to leslie's point individualizing,6:22
what the prize could be,6:24
we've had a number let's call it 200,6:26
bucks is what you win for the prize well,6:28
before that contest starts i'm going to,6:31
say hey go on amazon prime find me,6:32
something or multiple things that amount,6:34
to 200 bucks,6:36
and send it to me and if you win that's,6:37
what you're getting right so that is,6:40
such an easy way to individualize what,6:42
they get if it is a prize and anyone can,6:44
do that so um the first thing i want,6:46
people to hear is you don't always have,6:49
to have a prize visibility is huge and,6:50
then the second is there's easy ways to,6:53
individualize that through amazon,6:55
i think first off it's like talking,6:58
about it sharing our own and like making,6:59
sure everyone feels like,7:02
there's a piece of that i think imposter,7:04
syndrome is kind of thrown around and,7:06
there's some crazy articles out there,7:07
you can see,7:10
someone said something to me a couple,7:11
years back i wrote it down on a sticky,7:13
note i still have it in my calendar to,7:15
this day and it says there's no,7:17
b to b,7:21
or b to c anymore business is not,7:22
business to business or business to,7:24
consumer it's h human to human,7:26
and,7:30
especially when you're,7:31
starting out somewhere new when you're,7:33
fresh out of college,7:37
it is very intimidating because we're,7:39
always taught to respect you know it's,7:41
like you you hold the teacher in a high,7:44
regard you hold parents in a high regard,7:46
you and it's like this different dynamic,7:48
of power,7:50
and it's really hard to undo that,7:51
learning and just have a human,7:53
conversation with someone because you,7:55
feel like oh my gosh he's got a c in his,7:57
title,8:00
that means i have to treat him,8:02
differently or that i'm not as good as,8:04
that person and if we can start talking,8:06
about like,8:08
having those fostering those,8:10
conversations internally,8:11
letting,8:13
letting is a bad but like having our sdr,8:15
our bdr team our new hires anyone be,8:18
able to sit down and have coffee with,8:21
your ceo or just have a normal,8:23
conversation and see that they're a real,8:25
human,8:26
goes,8:28
beyond,8:29
vps whatever if you're a senior leader,8:30
especially like just go hang out and,8:32
have a talk not necessarily all about,8:34
work,8:36
with your,8:38
team,8:39
your,8:40
false evidence appearing real that,8:41
that's what uh perez just put in there,8:42
shout out to peres for that one uh,8:44
that's what fear i've heard that acronym,8:46
a couple of times now fear false,8:48
evidence appearing real,8:50
so that's good um mark the imposter,8:51
syndrome thing uh you guys probably see,8:54
this often,8:56
one everybody has it,8:57
like i have it we all have moments where,8:59
we have imposter syndrome so if you're,9:03
like an sdr calling on a c-suite person,9:04
you probably think,9:08
man do i like deserve to have this,9:09
conversation yes right and and why,9:12
because that c-suite person yeah that,9:16
they know a lot about a lot but if you,9:18
know your thing really well,9:21
then you know more than they do about,9:24
your thing right and so,9:26
um that impostor syndrome one just admit,9:29
that it's a thing and it's okay and most,9:32
people i know have it,9:35
but two if you become an expert in your,9:37
little niche,9:40
regardless of who you're talking to you,9:42
are the expert and so you can help,9:44
inform educate solve problems for that,9:46
person,9:49
and,9:50
you don't have to know every in and out,9:51
of their business you just got to know,9:53
your little corner,9:54
